Respondent,Gender,Age,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974727,Female,8,ToM1 Eyes,101914,3277,35,1,1,1,5,102013,3040,33,1,1,8,10
974728,Male,9,ToM1 Eyes,100719,1951,21,1,1,1,6,100793,481,5,1,1,4,4
974729,Female,7,ToM1 Eyes,100509,4927,53,1,1,1,8,100778,4620,50,1,1,8,10
974730,Male,11,ToM1 Eyes,100518,3717,40,1,1,1,11,101139,2124,23,1,1,9,10
974731,Male,8,ToM1 Eyes,101303,3515,38,1,1,1,3,101303,3174,34,1,1,2,8
974732,Male,7,ToM1 Eyes,100525,4380,47,1,1,1,6,100895,2337,25,1,1,7,11
974733,Male,7,ToM1 Eyes,100515,4262,46,1,1,1,4,100557,2696,29,1,1,7,11
974734,Female,10,ToM1 Eyes,100950,4858,52,1,1,1,6,100950,4393,47,1,1,7,13
974735,Female,11,ToM1 Eyes,101093,5122,55,1,1,1,7,101226,2181,23,1,1,7,9
974736,Female,9,ToM1 Eyes,101649,3390,36,1,1,1,4,101684,1807,19,1,1,7,10
974737,Female,7,ToM1 Eyes,101341,2779,30,1,1,1,5,101341,396,4,1,1,3,3
974738,Female,8,ToM1 Eyes,100938,3430,37,1,1,1,4,100550,3044,33,1,1,3,7
974739,Female,11,ToM1 Eyes,100819,3886,42,1,1,1,7,101836,1189,13,1,1,5,5
974740,Male,10,ToM1 Eyes,103134,1983,21,1,1,1,4,109457,209,2,0,1,0,1
974741,Male,7,ToM1 Eyes,0,134,1,1,0,0,0,9303,0,0,0,0,0,0
974742,Female,6,ToM1 Eyes,101443,3969,43,1,1,1,5,101483,3128,34,1,1,6,9
974743,Female,8,ToM1 Eyes,100506,2971,32,1,1,1,5,100665,2752,30,1,1,4,5
974744,Female,6,ToM1 Eyes,100509,4390,47,1,1,1,3,101116,2593,28,1,1,7,9
974745,Male,9,ToM1 Eyes,100507,3758,40,1,1,1,5,101024,2973,32,1,1,5,8
974746,Male,9,ToM1 Eyes,100506,3143,34,1,1,1,7,100632,1316,14,1,1,6,8
974747,Male,9,ToM1 Eyes,100549,2799,30,1,1,1,4,100591,2201,24,1,1,5,9
974748,Male,9,ToM1 Eyes,101127,3720,40,1,1,1,8,101213,1789,19,1,1,8,11
974749,Female,11,ToM1 Eyes,100504,4693,50,1,1,1,5,101390,2652,29,1,1,6,8
974750,Female,7,ToM1 Eyes,100505,3941,42,1,1,1,8,101048,710,8,1,1,4,4
974751,Male,10,ToM1 Eyes,100623,1913,21,1,1,1,3,100669,559,6,1,1,3,3
974752,Male,12,ToM1 Eyes,100506,2650,28,1,1,1,4,100506,2332,25,1,1,4,6
974753,Male,10,ToM1 Eyes,101319,2258,24,1,1,1,4,106538,370,4,1,1,3,3
974754,Male,6,ToM1 Eyes,100517,2159,23,1,1,1,6,100517,2254,24,1,1,4,8
974755,Female,7,ToM1 Eyes,100527,3051,33,1,1,1,7,100819,2053,22,1,1,5,6
974756,Male,10,ToM1 Eyes,101366,4733,51,1,1,1,5,103761,1145,12,1,1,4,5
974757,Male,10,ToM1 Eyes,100515,6181,66,1,1,1,6,101122,5102,55,1,1,7,12
974758,Male,6,ToM1 Eyes,100519,1126,12,1,1,1,2,101559,635,7,0,1,0,1
974759,Male,9,ToM1 Eyes,100848,3348,36,1,1,1,4,100848,2385,26,1,1,6,7
974760,Female,11,ToM1 Eyes,100538,3712,40,1,1,1,7,100621,1039,11,1,1,5,5
974761,Male,11,ToM1 Eyes,100589,3774,41,1,1,1,7,100624,2647,28,1,1,8,12
974762,Female,7,ToM1 Eyes,101380,3299,35,1,1,1,4,101380,2388,26,1,1,4,7
974763,Male,6,ToM1 Eyes,100998,2855,31,1,1,1,5,100998,2157,23,1,1,5,9
974764,Male,8,ToM1 Eyes,100945,3214,35,1,1,1,7,100945,3087,33,1,1,7,9
974765,Male,8,ToM1 Eyes,101593,2194,24,1,1,1,6,102462,752,8,1,1,3,5
974766,Male,6,ToM1 Eyes,101000,2787,30,1,1,1,6,101069,1359,15,1,1,4,5
974767,Male,10,ToM1 Eyes,101652,1965,21,1,1,1,6,9303,0,0,0,0,0,0
974768,Male,6,ToM1 Eyes,100962,2627,28,1,1,1,4,100962,1587,17,1,1,4,6
974769,Female,8,ToM1 Eyes,100888,4347,47,1,1,1,8,101005,2536,27,1,1,12,12
974770,Male,8,ToM1 Eyes,100516,5271,57,1,1,1,6,100948,2545,27,1,1,8,11
974771,Male,9,ToM1 Eyes,100504,4397,47,1,1,1,7,100504,1177,13,1,1,5,7
974772,Male,8,ToM1 Eyes,101607,2379,26,1,1,1,4,102202,752,8,1,1,2,2
974773,Female,10,ToM1 Eyes,100598,4095,44,1,1,1,6,100634,874,9,1,1,5,6
974774,Male,8,ToM1 Eyes,101129,2731,29,1,1,1,5,101129,3524,38,1,1,5,6
974775,Male,10,ToM1 Eyes,100522,3628,39,1,1,1,8,100964,2335,25,1,1,8,9
974776,Male,8,ToM1 Eyes,100931,3594,39,1,1,1,7,100931,1746,19,1,1,9,11
974777,Male,7,ToM1 Eyes,106530,385,4,1,0,1,0,106606,115,1,0,1,0,1
974778,Male,10,ToM1 Eyes,100534,4661,50,1,1,1,9,101591,1432,15,1,1,8,8
974779,Female,7,ToM1 Eyes,101098,5126,55,1,1,1,5,101098,4705,51,1,1,5,10
974780,Female,9,ToM1 Eyes,100502,3461,37,1,1,1,6,100648,839,9,1,1,4,4
974781,Female,6,ToM1 Eyes,101766,2257,24,1,1,1,5,102170,796,9,1,1,4,4
974782,Male,7,ToM1 Eyes,100516,3255,35,1,1,1,6,100880,1151,12,1,1,5,5
974783,Female,7,ToM1 Eyes,101574,4138,44,1,1,1,4,101612,3500,38,1,1,6,9
974784,Female,8,ToM1 Eyes,100517,3999,43,1,1,1,6,101917,545,6,1,1,5,5
974785,Male,10,ToM1 Eyes,100530,4057,44,1,1,1,6,100771,2043,22,1,1,6,8
974786,Female,8,ToM1 Eyes,100782,2249,24,1,1,1,5,100885,1119,12,1,1,5,5
974787,Female,5,ToM1 Eyes,100513,4663,50,1,1,1,7,100919,2919,31,1,1,8,12
974788,Male,9,ToM1 Eyes,100981,3121,34,1,1,1,5,101020,2707,29,1,1,5,8
974789,Female,7,ToM1 Eyes,100534,4689,50,1,1,1,5,100534,2808,30,1,1,9,13
974790,Male,7,ToM1 Eyes,100506,4479,48,1,1,1,7,100924,3572,38,1,1,7,10
974791,Male,7,ToM1 Eyes,100722,3375,36,1,1,1,6,100813,1247,13,1,1,4,6
974792,Male,5,ToM1 Eyes,100507,3410,37,1,1,1,6,100507,1867,20,1,1,8,9
974793,Female,8,ToM1 Eyes,101051,2796,30,1,1,1,5,101191,1379,15,1,1,5,5
974794,Male,8,ToM1 Eyes,101201,2563,28,1,1,1,7,100709,1950,21,1,1,7,8
